OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,1stFlrSF,TotRmsAbvGrd,Fireplaces,Price
5,816,2,816,1,1963,1963,816,5,0,110000
9,1842,3,1842,0,1981,1987,1842,5,1,385000
5,1360,2,384,1,1955,1955,1360,6,1,130000
6,1425,2,1425,2,1964,1964,1425,7,1,180500
8,1739,2,970,2,1999,2000,983,7,0,172500
7,1720,2,860,2,2004,2004,860,7,0,196500
10,2945,3,1410,3,2006,2006,1426,10,1,438780
5,780,1,780,1,1972,1972,780,4,0,124900
6,1158,2,1158,1,2004,2004,1158,5,0,158000
5,1111,1,530,1,1920,1996,581,6,0,101000
8,1370,2,1370,2,2006,2006,1370,6,1,202500
7,1710,2,576,2,1921,1950,902,9,0,140000
7,2034,2,1057,2,1997,1998,1057,8,0,219500
8,2473,3,1143,2,2004,2005,1143,9,1,317000
7,2207,2,1947,2,1970,1989,2207,7,1,180000
7,1479,2,1453,2,2003,2003,1479,7,0,226000
4,747,1,747,1,1945,1950,747,4,0,80000
7,2287,2,1304,2,1953,1953,1304,7,1,225000
7,2223,2,2223,2,1973,1973,2223,8,2,244000
4,845,2,845,1,1982,2006,845,4,0,129500
7,1718,2,832,2,1998,1998,885,7,1,185000
5,1086,2,1086,1,1954,2003,1086,6,0,144900
3,1605,1,840,2,1915,1950,840,8,0,107400
4,988,1,462,1,1973,1973,526,5,0,91000
4,952,1,952,1,1956,1956,952,4,0,135750
5,1285,1,672,1,1948,2001,1072,6,0,127000
4,1768,0,1768,2,1968,1968,1768,8,0,136500
5,1230,2,440,1,1910,1981,682,5,0,110000
6,2142,1,896,2,1968,1968,1182,8,1,193500
6,1337,2,1237,2,1998,1998,1337,5,0,153500
8,1563,3,1563,2,2007,2007,1563,6,1,245000
5,1065,2,1065,1,1960,1960,1065,6,0,126500
7,1474,2,384,2,1995,1996,804,7,1,168500
8,2417,2,1288,2,1991,1992,1301,9,1,260000
6,1560,2,684,2,2005,2005,684,6,1,174000
6,1224,2,612,2,2009,2009,612,4,0,164500
3,1526,0,1013,1,1915,1982,1013,6,0,85000
4,990,0,990,1,1994,1995,990,5,0,123600
4,1040,2,0,1,1950,1950,1040,4,0,109900
5,1235,2,1235,1,1961,1961,1235,6,0,98600
5,964,2,876,1,1921,2006,964,5,0,163500
6,2291,2,1214,2,1910,1998,1260,9,1,133900
6,1786,2,824,2,1997,1997,905,7,0,204750
6,1470,2,680,2,1993,1993,680,6,1,185000
7,1588,2,1588,2,1999,1999,1588,6,0,214000
4,960,1,960,1,1965,1965,960,6,0,94750
5,835,1,458,1,1920,1950,835,5,0,83000
4,1225,0,950,1,1959,1959,1225,6,0,128950
6,1610,2,1610,2,1977,2001,1610,6,2,205000
6,1732,2,741,2,1985,1985,977,7,1,178000
5,1535,2,0,2,1979,1979,1535,8,0,118964
7,1226,3,1226,2,2009,2009,1226,6,0,198900
7,1818,1,1040,1,1931,1950,1226,7,2,169500
8,1992,2,1053,2,2003,2004,1053,9,1,250000
4,1047,1,641,1,1885,1995,1047,6,0,100000
5,789,1,789,1,1948,1950,789,5,0,115000
5,1517,0,793,2,1919,2005,997,7,0,115000
6,1844,2,1844,2,1977,1977,1844,7,1,190000
6,1855,1,994,2,1954,1972,1216,7,0,136900
7,1430,2,384,2,2000,2000,774,7,1,180000
7,2696,3,1264,2,2007,2007,1282,10,1,383970
6,2259,2,1809,2,1953,1953,2259,7,2,217000
6,2320,1,1028,2,1945,2002,1436,9,1,259500
6,1458,2,729,2,1999,1999,729,5,1,176000
5,1092,1,1092,1,1962,1962,1092,6,1,139000
5,1125,2,1125,1,2006,2007,1125,5,0,155000
7,3222,3,1673,3,1990,1990,1699,11,2,320000
6,1456,2,728,2,2005,2006,728,8,1,163990
6,988,2,938,1,1969,1969,988,4,2,180000
4,1123,1,732,1,1939,1950,772,4,0,100000
6,1080,1,1080,1,1958,1958,1080,5,0,136000
6,1199,2,1199,2,1993,1993,1199,5,0,153900
6,1586,2,1362,2,1979,1998,1586,7,1,181000
6,754,0,520,1,1935,1982,520,5,0,84500
6,958,2,1078,2,1976,1976,958,5,1,128000
5,840,0,672,1,1930,1950,840,5,1,87000
6,1348,2,660,1,1966,1966,660,6,1,155000
5,1053,2,1008,1,1958,1991,1053,6,0,150000
7,2157,2,924,2,1966,1966,1216,8,2,226000
6,2054,2,992,2,2000,2000,1022,7,1,244000
5,1327,2,1063,1,1959,2002,1327,7,0,150750
8,1296,2,1267,2,2001,2002,1296,6,0,220000
5,1721,2,1461,2,1968,1993,1721,7,1,180000
7,1682,2,1304,2,1970,1970,1682,7,1,174000
5,1214,1,1214,2,1967,1967,1214,5,1,143000
7,1959,3,1907,3,1988,1989,1959,9,0,171000
8,1852,3,1004,2,1999,2000,1004,7,2,230000
6,1764,2,928,2,1997,1997,928,7,0,231500
4,864,0,864,1,1971,1971,864,5,1,115000
7,1734,2,1734,2,2005,2005,1734,7,0,260000
5,1385,2,910,2,1952,1952,910,6,0,166000
7,1501,2,1490,2,1999,1999,1501,6,0,204000
5,1728,2,1728,2,1963,1963,1728,10,0,125000
6,1709,2,970,2,2004,2006,970,7,0,130000
5,875,1,715,1,1931,1993,875,5,0,105000
7,2035,2,884,2,2001,2001,884,8,1,222500
7,1080,0,1080,1,2004,2005,1080,6,0,141000
5,1344,1,896,1,1936,1950,896,7,0,115000
5,969,2,969,1,1975,1975,969,5,0,122000
8,1710,3,1710,2,2007,2008,1710,6,1,372402
6,1993,2,825,2,1971,1971,1097,8,1,190000
6,1252,2,1602,1,1960,1975,1252,4,1,235000
6,1200,1,1200,1,1923,1950,1200,7,0,125000
6,1096,0,572,1,1924,1950,572,5,0,79000
5,1040,2,0,1,1950,1950,1040,5,0,109500
8,1968,3,774,2,2009,2010,774,8,1,269500
7,1947,2,991,2,2004,2005,991,8,1,254900
7,2462,2,1392,2,2005,2006,1392,9,1,320000
6,1232,2,1232,2,1984,1984,1232,6,0,162500
9,2668,3,1572,2,2003,2004,1572,10,2,412500
7,1541,2,1541,2,2005,2005,1541,7,1,220000
4,882,0,882,1,1956,1956,882,4,0,103200
6,1616,1,1149,2,1926,2004,1149,5,0,152000
5,1355,0,644,2,1940,1999,808,6,0,127500
5,1867,1,1617,1,1955,1993,1867,7,3,190000
8,2161,3,1582,1,2007,2007,1610,8,1,325624
7,1720,2,840,2,2004,2004,840,7,1,183500
8,1707,2,1686,2,1981,1981,1707,6,1,228000
5,1382,2,720,1,1941,1950,854,7,0,128500
6,1656,2,1080,1,1960,1960,1656,7,2,215000
7,1767,2,1064,2,1987,1987,1064,5,1,239000
6,1362,2,1362,1,1961,1961,1362,6,1,163000
6,1651,2,1606,2,1986,1986,1651,7,1,184000
6,2158,2,1202,2,1950,2001,2158,7,1,243000
6,2060,2,1151,2,1988,1989,1164,8,1,211000
5,1920,2,1052,2,1958,1958,1252,8,1,172500
9,2234,3,2216,2,2008,2009,2234,9,1,501837
5,968,2,968,1,1923,2006,968,5,0,100000
6,1525,2,756,2,2000,2000,769,5,1,177000
7,1802,1,793,1,1920,1950,901,9,1,200100
5,1340,1,0,1,1957,2006,1340,7,1,120000
7,2082,2,1362,2,2003,2003,1362,6,0,200000
5,1252,2,504,1,1908,1991,936,5,0,127000
10,3608,3,1107,2,1892,1993,1518,12,2,475000
7,1217,2,1188,2,1990,1991,1217,6,0,173000
5,1656,1,660,2,1916,1987,808,8,0,135000
5,1224,2,1086,0,1979,1979,1224,6,2,153337
8,1593,2,1593,1,2001,2002,1593,5,1,286000
8,2727,2,853,2,1932,1994,1549,10,2,315000
7,1479,2,725,1,1972,2004,725,7,0,184000
7,1431,2,1431,2,1999,1999,1431,6,0,192000
7,1709,2,970,2,2004,2004,970,7,0,130000
5,864,1,864,1,1972,1972,864,5,0,127000
6,1456,2,855,2,1976,1976,855,7,1,148500
7,1726,3,1726,2,2007,2007,1726,8,1,311872
8,3112,2,1360,2,1918,1990,1360,8,1,235000
6,2229,0,755,1,1912,1950,929,8,0,104000
8,1713,3,1713,2,2004,2005,1713,7,1,274900
4,1121,2,1121,2,2003,2004,1121,5,0,140000
6,1279,2,1196,2,1977,1977,1279,6,2,171500
6,1310,1,617,2,1924,1950,865,6,0,112000
6,848,2,848,1,2004,2004,848,3,1,149000
5,1284,1,720,1,1947,1950,720,5,0,110000
7,1442,2,1424,2,1990,1990,1442,5,0,180500
5,1696,1,1140,1,1962,1962,1696,8,1,143900
4,1100,1,1100,1,1960,1960,1100,6,1,141000
7,2062,2,1157,2,1988,1989,1180,7,1,277000
6,1092,2,1092,1,1964,1964,1092,6,0,145000
5,864,0,864,1,1925,1950,864,5,0,98000
6,1212,2,1212,2,2009,2009,1212,6,0,186000
7,1852,2,900,2,2009,2009,932,7,1,252678
5,990,2,990,1,1995,1995,990,5,0,156000
6,1392,1,689,1,1977,1977,689,6,0,161750
5,1236,1,1070,1,1957,1996,1236,6,1,134450
7,1436,2,1436,2,2004,2004,1436,8,0,210000
4,1328,1,686,1,1925,1950,810,8,0,107000
7,1954,2,798,1,1939,2006,1137,8,2,311500
7,1248,2,1248,2,2005,2006,1248,5,0,167240
7,1498,2,1498,2,2006,2006,1498,5,0,204900
6,2267,2,1010,2,2002,2002,1010,8,1,200000
6,1552,2,713,2,1975,1975,811,6,1,179900
4,864,2,864,1,1971,1971,864,4,0,97000
10,2392,3,2392,2,2003,2003,2392,8,1,386250
5,1302,1,630,2,1971,1971,630,6,0,112000
7,2520,3,1203,2,1995,1995,1214,9,1,290000
6,987,1,483,1,1970,1970,483,5,0,106000
5,912,1,912,1,1967,1967,912,5,1,125000
7,1555,2,1373,2,2005,2006,1555,7,1,192500
6,1194,1,1194,1,1959,1959,1194,6,0,148000
8,2794,3,1462,2,1995,1996,1490,9,1,403000
6,987,1,483,1,1972,1972,483,5,1,94500
5,894,1,894,1,1976,1976,894,5,0,128200
6,1960,2,860,2,2002,2002,860,8,2,216500
6,987,1,483,1,1971,1971,483,5,0,89500
7,1414,2,1414,2,2004,2004,1414,6,0,185500
7,1744,2,996,2,1993,2003,1014,7,0,194500
8,1694,3,1694,2,2007,2007,1694,7,0,318000
6,1487,1,735,1,1945,1950,798,7,1,113000
8,1566,2,1566,2,2008,2008,1566,7,0,262500
5,866,0,686,1,1945,1997,866,4,0,110500
5,1440,1,540,1,1900,1950,889,6,0,79000
6,1217,1,626,1,1980,1980,626,6,1,120000
7,2110,2,948,2,1994,2002,1222,8,2,205000
7,1872,2,1845,2,1988,1988,1872,6,1,241500
6,1928,1,1020,2,1910,1950,908,9,0,137000
6,1375,2,1367,1,1954,1954,1375,5,1,140000
7,1668,2,840,2,2003,2003,840,8,0,180000
6,2144,2,1444,2,1958,2006,1444,7,2,277000
3,1306,0,728,1,1940,1966,1306,6,0,76500
8,1625,2,1573,2,2006,2007,1625,5,1,235000
6,1640,2,798,2,2004,2004,798,6,0,173000
6,1302,1,1302,2,1964,1991,1302,7,0,158000
5,1314,1,1314,1,1957,1957,1314,5,0,145000
7,2291,2,975,2,1999,1999,1005,8,1,230000
6,1728,2,864,2,2003,2003,864,7,0,207500
7,1604,2,1604,2,2006,2006,1604,8,1,220000
7,1792,2,963,2,2001,2001,963,7,1,231500
5,882,1,0,1,1956,1956,882,4,0,97000
6,1382,2,1362,1,1962,1962,1382,6,1,176000
8,2574,3,1482,2,2007,2007,1482,10,1,276000
6,1212,2,506,1,1977,1995,1212,6,1,151000
5,1316,2,926,1,1929,2001,926,6,0,130000
5,764,2,680,1,1925,2004,764,4,0,73000
6,1422,2,1422,2,1981,1981,1422,7,1,175500
6,1511,2,802,2,1997,1997,802,8,1,185000
5,2192,1,720,2,1939,1997,1052,8,1,179500
5,778,1,740,1,1940,1955,778,4,1,120500
6,1113,1,1143,1,1976,1976,1113,6,1,148000
8,1939,3,1095,2,2006,2006,1095,8,1,266000
7,1363,2,1385,1,1954,2005,1363,5,2,241500
8,2270,3,1152,2,1999,2007,1164,9,1,290000
6,1632,1,1240,2,1958,1988,1632,6,1,139000
5,816,1,816,1,1982,1982,816,5,0,124500
7,1548,2,952,2,1925,2007,952,5,0,205000
7,1560,2,1560,2,2003,2003,1560,7,0,201000
4,864,2,864,1,1951,1951,864,4,0,141000
9,2121,3,2121,2,2006,2007,2121,8,1,415298
7,2022,2,1160,2,1977,1977,1156,8,1,192000
7,1982,2,807,2,1989,1989,1175,7,1,228500
6,1262,2,1262,2,2006,2006,1262,5,0,185000
7,1314,2,1314,2,2007,2008,1314,6,1,207500
8,1468,3,1468,2,2008,2009,1468,6,1,244600
6,1575,2,1575,2,1992,1992,1575,5,0,179200
7,1250,2,625,2,2006,2007,625,5,0,164700
6,1734,2,912,1,1962,1981,1085,7,1,159000
4,858,0,858,1,1971,1971,858,5,0,88000
5,900,1,882,1,1967,1967,900,5,0,122000
6,1396,1,698,1,1915,2003,698,7,0,153575
8,1919,2,1079,2,2006,2006,1079,8,1,233230
5,1716,0,780,2,1912,2000,936,9,0,135900
5,1716,1,768,1,1949,2008,1148,8,1,131000
7,2263,2,795,2,1977,1994,1468,9,1,235000
6,1644,2,1416,1,1953,1953,1644,7,2,167000
6,1003,2,1003,1,1984,1984,1003,6,0,142500
5,1558,1,910,1,1950,1950,910,6,0,152000
7,1950,2,975,2,1997,1998,975,7,1,239000
6,1743,2,702,1,1968,1968,1041,7,1,175000
6,1152,1,1092,1,1950,2004,1152,6,1,158500
5,1336,1,1165,1,1953,1953,1336,5,2,157000
8,2452,2,1028,2,1998,1999,1210,9,1,267000
7,1541,3,1541,2,2001,2002,1541,6,1,205000
5,894,2,894,1,1972,1972,894,5,0,149900
7,3493,3,1470,3,1880,2002,1675,10,1,295000
8,2000,3,2000,2,2004,2005,2000,8,0,305900
7,2243,3,700,2,1990,1991,1122,8,1,225000
6,1406,0,319,1,1920,1950,1035,6,0,89500
4,861,2,861,1,1940,1950,861,4,0,82500
9,1944,3,1896,2,2003,2004,1944,8,3,360000
6,1501,2,697,2,1993,1994,697,6,1,165600
6,972,1,972,1,1948,2002,972,5,1,132000
5,1118,2,793,1,1939,1950,793,5,1,119900
7,2036,2,2136,2,1965,1965,2036,8,2,375000
7,1641,2,728,1,1925,1990,832,6,1,178000
7,1432,2,716,2,2004,2005,716,6,1,188500
7,2353,2,845,2,1980,1980,1153,10,1,260000
8,1959,3,1088,2,2006,2006,1088,8,1,270000
7,2646,3,1347,2,1993,1993,1372,9,1,260000
7,1472,2,1372,2,1980,1980,1472,6,2,187500
9,2596,3,1249,3,2006,2006,1249,9,0,342643
8,2468,3,1136,2,2004,2004,1136,10,1,354000
7,2730,2,1502,2,1986,1987,1553,8,1,301000
3,1163,1,1162,1,1955,2005,1163,6,0,126175
7,2978,2,710,2,1967,2007,1898,11,1,242000
5,803,2,720,1,1941,1950,803,5,0,87000
8,1719,2,1719,1,1993,1993,1719,6,2,324000
6,1383,1,1383,1,1960,1960,1383,7,0,145250
6,2134,2,844,2,1916,1994,1445,10,0,214500
5,1192,1,596,1,1920,1950,596,6,0,78000
5,1728,1,1728,2,1964,1964,1728,10,0,119000
5,1056,1,1056,1,1958,1992,1056,6,0,139000
8,1629,3,3206,2,2003,2004,1629,7,1,284000
7,1358,2,1358,2,2004,2004,1358,6,1,207000
6,1638,2,943,2,1998,1998,943,7,2,192000
5,1786,2,1499,2,1965,1965,1619,7,2,228950
9,1922,3,1922,2,2005,2006,1922,8,1,377426
7,1536,2,1536,2,2002,2003,1536,7,0,214000
7,1621,2,1208,2,1984,1998,1621,8,0,202500
6,1215,1,1215,1,1958,1998,1215,6,0,155000
8,1908,2,967,2,2002,2002,993,9,0,202900
4,841,1,721,1,1950,1950,841,4,0,82000
3,1040,2,0,2,1949,1950,1040,6,0,87500
9,1684,2,1684,2,2005,2005,1684,6,1,266000
5,1112,1,536,1,1976,1976,536,4,0,85000
6,1577,1,972,1,1939,1950,972,6,1,140200
6,958,1,958,1,1960,1998,958,5,0,151500
6,1478,2,1478,2,1960,1960,1478,6,2,157500
7,1626,2,764,2,2003,2004,764,6,0,154000
9,2728,3,1848,2,2005,2006,1848,10,2,437154
9,1869,2,1869,2,2007,2007,1869,6,1,318061
7,1453,2,1453,1,1986,1986,1453,6,1,190000
5,1111,1,616,1,1941,1950,616,5,0,95000
6,720,2,624,1,1928,2003,720,5,0,105900
6,1595,1,940,1,1940,2000,1192,6,2,140000
6,1200,2,1200,2,1995,1995,1200,6,0,177500
6,1167,2,1158,2,1992,1992,1167,6,0,173000
5,1142,2,1142,1,1976,1976,1142,6,1,134000
5,1352,1,1062,1,1958,1958,1352,6,0,130000
8,1924,2,1086,2,1998,1998,1086,7,1,280000
6,912,2,888,1,1978,1978,912,5,1,156000
5,1505,1,883,1,1940,1982,988,8,0,145000
7,1922,2,0,3,2003,2003,495,7,1,198500
6,987,1,483,1,1972,2007,483,5,0,118000
6,1574,2,796,2,1976,1976,790,6,1,190000
5,1344,1,672,1,1920,1997,672,6,0,147000
6,1394,2,1394,1,1963,1963,1394,6,2,159000
6,1431,1,1099,1,1962,1962,1431,6,1,165000
5,1268,1,1268,1,1954,1954,1268,7,1,132000
5,1287,2,1063,1,1959,2006,1287,7,1,162000
6,1664,2,953,2,2000,2000,953,7,1,172400
4,1588,2,0,2,1959,1959,1120,7,1,134432
6,752,1,744,1,1984,1984,752,4,0,125000
5,1319,1,608,1,1953,1953,1319,5,0,123000
7,1928,2,847,2,2003,2004,847,8,1,219500
1,904,0,683,0,1922,1950,904,4,0,61000
5,914,2,870,1,1996,1996,914,5,0,148000
8,2466,2,1580,3,2004,2005,1580,8,1,340000
9,1856,3,1856,1,2010,2010,1856,8,1,394432
6,1800,2,982,2,2000,2000,1007,7,1,179000
5,1691,1,1026,2,1924,1950,1026,6,1,127000
7,1301,2,1293,2,2006,2006,1301,5,1,187750
7,1797,2,939,2,2006,2006,939,8,0,213500
6,784,2,784,1,1928,1950,784,5,0,76000
6,1953,2,1580,2,1992,1992,1079,9,2,240000
8,1269,2,1256,2,2004,2005,1269,6,1,192000
5,1184,0,658,1,1910,1996,658,8,0,81000
6,1125,1,1041,1,1976,1976,1125,6,1,125000
7,1479,2,1468,2,1999,2000,1479,6,0,191000
10,2332,3,1682,2,2007,2008,1742,9,1,426000
5,1367,1,861,1,1900,1950,961,7,0,119000
6,1961,2,804,2,2001,2002,804,7,1,215000
5,882,1,0,1,1959,1959,882,5,0,106500
4,788,0,788,1,1941,1950,788,4,2,100000
5,1034,1,735,1,1940,1950,735,5,0,109000
5,1144,1,1144,1,1956,1956,1144,6,0,129000
5,894,2,894,1,1972,1972,894,6,0,123000
5,1812,1,864,2,1962,1962,876,8,1,169500
5,1077,1,961,1,1920,1950,1077,6,0,67000
7,1550,2,1092,2,2006,2007,1112,7,0,241000
8,1288,2,1260,1,1996,1996,1288,4,2,245500
7,1310,2,1310,2,2005,2005,1310,6,1,164990
5,672,1,672,1,1940,1997,672,4,0,108000
8,2263,2,1141,2,1998,1998,1165,10,1,258000
6,1572,2,806,2,1995,1996,806,7,1,168000
4,1620,2,1281,2,1976,1993,1620,8,1,150000
6,1639,1,1064,1,1936,1950,1166,6,0,115000
6,1680,1,840,2,1915,1976,840,8,0,177000
7,2172,3,1063,2,2006,2006,1071,9,1,280000
8,2078,3,1034,2,2007,2008,1050,8,1,339750
5,1276,1,1276,1,1958,1958,1276,5,0,60000
5,1056,2,1056,1,1955,1955,1056,5,0,145000
7,1478,2,1470,2,2009,2009,1478,7,1,222000
5,1028,2,1008,1,1927,1950,1028,5,1,115000
7,2097,3,1080,2,1993,1993,1080,9,1,228000
7,1340,2,1340,2,2007,2007,1340,6,0,181134
6,1400,2,672,1,1978,1978,672,6,1,149500
6,2624,3,1370,2,1918,1950,1370,10,1,239000
5,1134,1,756,1,1940,1950,756,7,0,126000
5,1056,1,1056,1,1968,1968,1056,6,1,142000
7,1344,4,1344,2,1997,1998,1344,8,0,206300
6,1602,2,1602,2,1977,2000,1602,8,1,215000
5,988,2,988,1,1954,1954,988,4,0,113000
8,2630,3,1470,2,1998,1998,1470,8,1,315000
6,1196,1,1196,1,1956,1956,1196,6,1,139000
7,1389,1,651,1,1946,1992,707,6,2,135000
7,1644,2,1518,2,1989,1989,1644,5,1,275000
4,907,1,907,1,1957,1957,907,5,0,109008
7,1208,2,1208,2,2007,2007,1208,6,0,195400
6,1412,2,1392,2,1988,1988,1412,6,1,175000
6,987,1,483,1,1971,1971,483,4,0,85400
6,1198,0,901,1,1920,1998,1088,7,0,79900
5,1365,2,765,1,1971,1971,765,6,0,122500
6,1604,2,926,2,1997,1998,926,7,1,181000
4,630,0,630,1,1972,1972,630,3,0,81000
7,1661,2,799,2,1996,1996,827,6,1,212000
6,1118,2,648,1,1920,1950,734,6,0,116000
6,904,1,884,1,1926,2004,904,4,0,119000
5,694,1,440,1,1913,2002,694,4,1,90350
6,1196,2,684,1,1920,2000,684,7,0,110000
10,2402,3,3094,2,2008,2008,2402,10,2,555000
4,1440,0,1440,2,1955,1955,1440,8,0,118000
5,1573,2,1078,2,1930,1992,1128,8,1,162900
7,1258,3,1258,2,2006,2007,1258,6,1,172500
7,1908,2,915,2,1994,1995,933,8,1,210000
6,1689,2,1436,1,1956,1956,1689,7,1,127500
6,1888,2,1517,2,1966,2002,1888,6,1,190000
7,1886,2,930,2,1998,1999,956,10,1,199900
6,1376,1,780,2,1937,1950,780,7,1,119500
3,1183,1,649,1,1948,2002,679,6,0,120000
6,813,1,813,1,1930,2005,813,5,0,110000
7,1533,2,1533,2,1975,1975,1533,5,2,280000
6,1756,2,872,2,1996,1997,888,7,0,204000
8,1590,2,768,2,2008,2008,786,6,0,210000
5,1728,2,1728,2,1976,1976,1728,8,0,188000
7,1242,2,1242,1,1973,1973,1242,6,1,175500
5,1344,3,624,1,1916,1950,624,7,0,98000
4,1663,2,1364,1,1954,1994,1663,6,2,256000
8,1666,1,588,1,1925,1996,833,7,1,161000
5,1203,1,709,1,1950,1950,979,5,1,110000
8,1935,2,832,2,2009,2009,832,8,0,263435
7,1135,2,560,1,1936,2007,575,6,0,155000
5,864,1,864,1,1965,1965,864,5,1,62383
6,1660,1,715,1,1934,1995,849,6,1,188700
5,1040,0,1040,2,1978,1978,1040,5,0,124000
7,1414,2,1375,2,2004,2004,1414,6,1,178740
7,1277,2,1277,1,1970,1970,1277,5,1,167000
5,1644,1,728,1,1942,1995,888,7,2,146500
8,1634,3,1626,2,2006,2006,1634,7,1,250000
6,1710,2,832,2,1993,1993,832,7,0,187000
8,1502,2,1488,1,1985,1985,1502,4,0,212000
7,1969,2,808,2,1977,1977,1161,8,1,190000
6,1072,2,547,1,2005,2005,1072,5,0,148000
8,1976,3,1976,2,2006,2007,1976,7,1,440000
8,1652,2,1494,2,2000,2000,1652,6,0,251000
5,970,2,970,1,1963,1963,970,5,0,132500
6,1493,2,1478,2,1997,1998,1493,7,1,208900
9,2643,3,2153,2,2006,2006,2069,9,1,380000
8,1718,3,1705,2,2007,2008,1718,7,1,297000
4,1131,2,907,1,1937,2000,1131,7,0,89471
9,1850,3,1833,2,2004,2005,1850,8,1,326000
9,1792,3,1792,2,2003,2004,1792,6,1,374000
7,1826,1,910,1,1915,2005,916,7,1,155000
6,1216,2,1216,2,1998,1998,1216,5,0,164000
5,999,1,999,1,1962,2001,999,6,0,132500
5,1113,1,1113,1,1950,2007,1113,5,1,147000
5,1073,2,1073,1,1965,1965,1073,6,0,156000
5,1484,2,1484,2,1971,1971,1484,7,1,175000
5,2414,2,954,2,1900,1970,1766,10,1,160000
4,630,1,630,1,1970,2002,630,3,0,86000
5,1304,1,264,1,1976,1976,616,4,1,115000
6,1578,1,806,1,1941,1950,958,5,2,133000
6,1456,2,728,2,2006,2006,728,8,0,172785
5,1269,1,1269,1,1960,1960,1269,6,1,155000
5,886,1,190,1,1938,1996,886,4,0,91300
4,720,0,720,1,1920,1950,720,4,0,34900
8,3228,2,3200,3,1992,1993,3228,10,1,430000
7,1820,1,1026,2,1925,1950,1133,8,0,184000
5,899,1,864,1,1967,2004,899,5,0,130000
5,912,1,912,1,1958,1985,912,5,0,120000
6,1218,1,672,1,1973,1973,672,7,0,113000
7,1768,2,866,2,2005,2005,866,7,0,226700
5,1214,2,1214,1,1965,1965,1214,6,0,140000
7,1801,2,1501,2,1959,1997,1801,6,2,289000
6,1322,2,855,2,1974,1974,855,6,1,147000
5,1960,2,960,2,1952,1952,960,10,0,124500
8,1911,2,777,2,1993,1994,1065,8,1,215000
6,1218,2,1218,2,2009,2009,1218,4,0,208300
7,1378,2,689,2,1928,2005,689,7,1,161000
5,1041,1,1041,1,1959,1959,1041,6,0,124500
5,1363,1,1008,1,1951,2000,1363,6,2,164900
7,1368,2,1368,2,2005,2006,1368,6,1,202665
5,864,2,864,1,1958,1958,864,5,0,129900
